Validator,PT_VERSION,2.6.0
Validator,ROCM_VERSION,6.3.1.0-40-ce2be3b
Validator,HIPBLASLT_VERSION,1000-b4e5042b
Validator,GCN_ARCH_NAME,gfx1100
Validator,ROCBLAS_VERSION,4.3.0-8ebd6c11
GemmTunableOp_Half_TN,tn_151552_23_4096,Gemm_Rocblas_1140853614,1.80138
GemmTunableOp_Half_TN,tn_151552_32_4096,Gemm_Rocblas_1140853599,1.82268
GemmTunableOp_Half_TN,tn_151552_37_4096,Gemm_Rocblas_1140853645,1.83588
GemmTunableOp_Half_TN,tn_151552_40_4096,Gemm_Rocblas_1140853645,1.84552
GemmTunableOp_Half_TN,tn_151552_41_4096,Gemm_Rocblas_1140853629,1.84817
GemmTunableOp_Half_TN,tn_151552_52_4096,Gemm_Rocblas_1140853648,1.87637
GemmTunableOp_Half_TN,tn_151552_62_4096,Gemm_Rocblas_1140853630,1.90156
GemmTunableOp_Half_TN,tn_151552_74_4096,Gemm_Hipblaslt_TN_148165,2.4326
GemmTunableOp_Half_TN,tn_151552_91_4096,Gemm_Hipblaslt_TN_148165,2.47907
GemmTunableOp_Half_TN,tn_151552_93_4096,Gemm_Hipblaslt_TN_148165,2.47789
GemmTunableOp_Half_TN,tn_151552_108_4096,Gemm_Rocblas_1140853619,2.5993
GemmTunableOp_Half_TN,tn_151552_117_4096,Gemm_Rocblas_1140853645,2.59398
GemmTunableOp_Half_TN,tn_151552_125_4096,Gemm_Rocblas_1140853645,2.58449
GemmTunableOp_Half_TN,tn_151552_164_4096,Gemm_Rocblas_1140853619,3.69724
GemmTunableOp_Half_TN,tn_151552_44_4096,Gemm_Rocblas_1140853645,1.85406
GemmTunableOp_Half_TN,tn_151552_167_4096,Gemm_Rocblas_1140853619,3.72179
GemmTunableOp_Half_TN,tn_151552_170_4096,Gemm_Rocblas_1140853619,3.74156
GemmTunableOp_Half_TN,tn_151552_177_4096,Gemm_Rocblas_1140853619,3.80476
GemmTunableOp_Half_TN,tn_151552_178_4096,Gemm_Rocblas_1140853619,3.82563
GemmTunableOp_Half_TN,tn_151552_180_4096,Gemm_Rocblas_1140853619,3.83601
GemmTunableOp_Half_TN,tn_151552_191_4096,Default,3.84759
GemmTunableOp_Half_TN,tn_151552_199_4096,Gemm_Rocblas_1140853638,4.62895
GemmTunableOp_Half_TN,tn_151552_210_4096,Gemm_Rocblas_1140853619,4.70541
GemmTunableOp_Half_TN,tn_151552_217_4096,Gemm_Rocblas_1140853638,4.70086
GemmTunableOp_Half_TN,tn_151552_222_4096,Gemm_Rocblas_1140853619,4.68373
GemmTunableOp_Half_TN,tn_151552_231_4096,Gemm_Rocblas_1140853619,4.76796
GemmTunableOp_Half_TN,tn_151552_234_4096,Gemm_Rocblas_1140853619,4.8161
GemmTunableOp_Half_TN,tn_151552_238_4096,Gemm_Rocblas_1140853627,4.83894
GemmTunableOp_Half_TN,tn_151552_242_4096,Gemm_Rocblas_1140853627,4.82588
